HOSPITAL_NAME,CITY,STATE,COUNTRY
Banner Desert Medical Center,Mesa,AZ,USA
Mt. Graham Regional Medical Center,Safford,AZ,USA
Havasu Regional Medical Center,Lake Havasu City,AZ,USA
Fort Defiance Indian Hospital,Fort Defiance,AZ,USA
Tuba City Regional Health Care Corporation,Tuba City,AZ,USA
Sells Hospital,Sells,AZ,USA
San Carlos Apache Healthcare,Peridot,AZ,USA
Phoenix Indian Medical Center,Phoenix,AZ,USA
Abrazo Scottsdale Campus,Phoenix,AZ,USA
Chinle Comprehensive Health Care Facility,Chinle,AZ,USA
Scottsdale Shea Medical Center,Scottsdale,AZ,USA
Banner Baywood Medical Center,Mesa,AZ,USA
Banner Thunderbird Medical Center,Glendale,AZ,USA
Honorhealth Deer Valley Medical Center,Phoenix,AZ,USA
Banner Del E. Webb Medical Center,Sun City West,AZ,USA
Abrazo Arrowhead Campus,Glendale,AZ,USA
Western Arizona Regional Medical Center,Bullhead City,AZ,USA
Mayo Clinic Hospital,Phoenix,AZ,USA
Banner Heart Hospital,Mesa,AZ,USA
Arizona Spine And Joint Hospital,Mesa,AZ,USA
"Core Institute Specialty Hospital, The",Phoenix,AZ,USA
Abrazo West Campus,Goodyear,AZ,USA
Banner-university Medical Center South Campus,Tucson,AZ,USA
Arizona Specialty Hospital,Chandler,AZ,USA
Whiteriver Phs Indian Hospital,Whiteriver,AZ,USA
Oro Valley Hospital,Oro Valley,AZ,USA
Banner Estrella Medical Center,Phoenix,AZ,USA
Valley View Medical Center,Fort Mohave,AZ,USA
Mercy Gilbert Medical Center,Gilbert,AZ,USA
"Mountain Vista Medical Center, Lp",Mesa,AZ,USA
Banner Gateway Medical Center,Gilbert,AZ,USA
Scottsdale Thompson Peak Medical Center,Scottsdale,AZ,USA
Banner Ironwood Medical Center,Queen Creek,AZ,USA
O.a.s.i.s. Hospital,Phoenix,AZ,USA
Banner Goldfield Medical Center,Apache Junction,AZ,USA
Dignity Health - Arizona General Hospital,Laveen,AZ,USA
Santa Cruz Valley Regional Hospital,Green Valley,AZ,USA
Western Regional Medical Center,Goodyear,AZ,USA
Wickenburg Community Hospital,Wickenburg,AZ,USA
Benson Hospital,Benson,AZ,USA
"Northern Cochise Community Hospital, Inc.",Willcox,AZ,USA
Page Hospital,Page,AZ,USA
Hopi Health Care Center,Polacca,AZ,USA
Parker Indian Health Center,Parker,AZ,USA
Huhu Kam Memorial Hospital,Sacaton,AZ,USA
Sage Memorial Hospital,Ganado,AZ,USA
Little Colorado Medical Center,Winslow,AZ,USA
Copper Queen Community Hospital,Bisbee,AZ,USA
Holy Cross Hospital,Nogales,AZ,USA
Cobre Valley Regional Medical Center,Globe,AZ,USA
White Mountain Regional Medical Center,Springerville,AZ,USA
La Paz Regional Hospital,Parker,AZ,USA
Banner Payson Medical Center,Payson,AZ,USA
Phoenix Children's Hospital,Phoenix,AZ,USA
"Hacienda Children's Hospital, Inc.",Mesa,AZ,USA
Siloam Springs Regional Hospital,Siloam Springs,AR,USA
Johnson Regional Medical Center,Clarksville,AR,USA
Washington Regional Medical Center,Fayetteville,AR,USA
Chi-st Vincent Infirmary,Little Rock,AR,USA
Mercy Hospital Northwest Arkansas,Rogers,AR,USA
Chambers Memorial Hospital,Danville,AR,USA
White County Medical Center,Searcy,AR,USA
Mena Regional Health System,Mena,AR,USA
Uams Medical Center,Little Rock,AR,USA
North Arkansas Regional Medical Center,Harrison,AR,USA
Sparks Medical Center - Van Buren,Van Buren,AR,USA
Forrest City Medical Center,Forrest City,AR,USA
St Bernards Medical Center,Jonesboro,AR,USA
Northwest Medical Center-springdale,Springdale,AR,USA
Chi St. Vincent Hospital Hot Springs,Hot Springs,AR,USA
Baxter Regional Medical Center,Mountain Home,AR,USA
Conway Regional Medical Center,Conway,AR,USA
Baptist Health Medical Center North Little Rock,North Little Rock,AR,USA
Arkansas Methodist Medical Center,Paragould,AR,USA
St Marys Regional Medical Center,Russellville,AR,USA
Five Rivers Medical Center,Pocahontas,AR,USA
Ouachita County Medical Center,Camden,AR,USA
Drew Memorial Hospital,Monticello,AR,USA
Sparks Regional Medical Center,Fort Smith,AR,USA
Mercy Hospital Fort Smith,Fort Smith,AR,USA
Magnolia Hospital,Magnolia,AR,USA
Great River Medical Center,Blytheville,AR,USA
Jefferson Regional Medical Center,Pine Bluff,AR,USA
Baptist Health Medical Center-stuttgart,Stuttgart,AR,USA
North Metro Medical Center,Jacksonville,AR,USA
Baptist Health Medical Center-hot Springs County,Malvern,AR,USA
National Park Medical Center,Hot Springs,AR,USA
Saline Memorial Hospital,Benton,AR,USA
Helena Regional Medical Center,Helena,AR,USA
Medical Center Of South Arkansas,El Dorado,AR,USA
Baptist Health Medical Center-little Rock,Little Rock,AR,USA
Nea Baptist Memorial Hospital,Jonesboro,AR,USA
White River Medical Center,Batesville,AR,USA
Levi Hospital,Hot Springs,AR,USA
"Arkansas Heart Hospital, Llc",Little Rock,AR,USA
St Vincent Medical Center/north,Sherwood,AR,USA
Arkansas Surgical Hospital,No Little Rock,AR,USA
Northwest Health Physicians Specialty Hospital,Fayetteville,AR,USA
Wadley Regional Medical Center At Hope,Hope,AR,USA
Baptist Health Medical Center-conway,Conway,AR,USA
Arkansas Continued Care Hospital Of Jonesboro,Jonesboro,AR,USA
North Logan Mercy Hospital,Paris,AR,USA
River Valley Medical Center,Dardanelle,AR,USA
Mercy Hospital Turner Memorial,Ozark,AR,USA
"Eureka Springs Hospital, Llc",Eureka Springs,AR,USA
Mercy Hospital Waldron,Waldron,AR,USA
"Izard County Medical Center, Llc",Calico Rock,AR,USA
Crossridge Community Hospital,Wynne,AR,USA
Mcgehee Hospital,Mcgehee,AR,USA
Lawrence Memorial Hospital,Walnut Ridge,AR,USA
Stone County Medical Center,Mountain View,AR,USA
Howard Memorial Hospital,Nashville,AR,USA
Baptist Health Medical Center Heber Spings,Heber Springs,AR,USA
Ozark Health,Clinton,AR,USA
"Dewitt Hospital & Nursing Home, Inc",De Witt,AR,USA
South Missississpi County Regional Medical Center,Osceola,AR,USA
Dallas County Medical Center,Fordyce,AR,USA
Mercy Hospital Booneville,Booneville,AR,USA
"De Queen Medical Center, Inc",De Queen,AR,USA
Little River Memorial Hospital,Ashdown,AR,USA
Baptist Health Medical Center-arkadelphia,Arkadelphia,AR,USA
Fulton County Hospital,Salem,AR,USA
Ashley County Medical Center,Crossett,AR,USA
Chi St Vincent Morrilton,Morrilton,AR,USA
Delta Memorial Hospital,Dumas,AR,USA
Bradley County Medical Center,Warren,AR,USA
Chicot Memorial Medical Center,Lake Village,AR,USA
Mercy Hospital Berryville,Berryville,AR,USA
Piggott Community Hospital,Piggott,AR,USA
Ozarks Community Hospital Of Gravette,Gravette,AR,USA
Arkansas Children's Hospital,Little Rock,AR,USA
"Arkansas Children's Northwest, Inc",Springdale,AR,USA
St Rose Hospital,Hayward,CA,USA
St Joseph Hospital,Eureka,CA,USA
Mills-peninsula Medical Center,Burlingame,CA,USA
California Pacific Medical Ctr-davies Campus Hosp,San Francisco,CA,USA
Queen Of The Valley Medical Center,Napa,CA,USA
Adventist Health St Helena,Saint Helena,CA,USA
Sutter Amador Hospital,Jackson,CA,USA
Mercy General Hospital,Sacramento,CA,USA
Riverside Community Hospital,Riverside,CA,USA
Paradise Valley Hospital,National City,CA,USA
Uc San Diego Health Hillcrest - Hillcrest Med Ctr,San Diego,CA,USA
Grossmont Hospital,La Mesa,CA,USA
Mad River Community Hospital,Arcata,CA,USA
Oroville Hospital,Oroville,CA,USA
Bakersfield Memorial Hospital,Bakersfield,CA,USA
Santa Clara Valley Medical Center,San Jose,CA,USA
Enloe Medical Center,Chico,CA,USA
Lac/olive View-ucla Medical Center,Sylmar,CA,USA
St Elizabeth Community Hospital,Red Bluff,CA,USA
Alta Bates Summit Medical Center,Oakland,CA,USA
El Centro Regional Medical Center,El Centro,CA,USA
California Pacific Medical Ctr-pacific Campus Hosp,San Francisco,CA,USA
San Gorgonio Memorial Hospital,Banning,CA,USA
California Pacific Medical Ctr - St. Luke's Campus,San Francisco,CA,USA
Antelope Valley Hospital,Lancaster,CA,USA
Kaweah Delta Medical Center,Visalia,CA,USA
Glendale Mem Hospital & Hlth Center,Glendale,CA,USA
Community Regional Medical Center,Fresno,CA,USA
Hollywood Presbyterian Medical Center,Los Angeles,CA,USA
Oak Valley Hospital District,Oakdale,CA,USA
Kaiser Foundation Hospital - South San Francisco,South San Francisco,CA,USA
Kaiser Foundation Hospital-santa Clara,Santa Clara,CA,USA
Kaiser Foundation Hospital - Walnut Creek,Walnut Creek,CA,USA
Kaiser Foundation Hospital And Rehab Center,Vallejo,CA,USA
Kaiser Foundation Hospital - Oakland/richmond,Oakland,CA,USA
Kaiser Foundation Hospital - San Francisco,San Francisco,CA,USA
Scripps Mercy Hospital,San Diego,CA,USA
Providence Little Co Of Mary Med Ctr San Pedro,San Pedro,CA,USA
St Johns Regional Medical Center,Oxnard,CA,USA
St Joseph's Medical Center Of Stockton,Stockton,CA,USA
Community Hospital Of San Bernardino,San Bernardino,CA,USA
Sonoma Valley Hospital,Sonoma,CA,USA
Community Hospital Of Huntington Park,Huntington Park,CA,USA
Saint Agnes Medical Center,Fresno,CA,USA
"West Covina Medical Center, Inc",West Covina,CA,USA
San Antonio Regional Hospital,Upland,CA,USA
Sharp Memorial Hospital,San Diego,CA,USA
Sutter Solano Medical Center,Vallejo,CA,USA
Parkview Community Hospital Medical Center,Riverside,CA,USA
White Memorial Medical Center,Los Angeles,CA,USA
Saint Francis Medical Center,Lynwood,CA,USA
Marian Regional Medical Center,Santa Maria,CA,USA
"Sutter Medical Center, Sacramento",Sacramento,CA,USA
Lompoc Valley Medical Center,Lompoc,CA,USA
Santa Monica - Ucla Med Ctr & Orthopaedic Hospital,Santa Monica,CA,USA
San Mateo Medical Center,San Mateo,CA,USA
Palomar Health Downtown Campus,Escondido,CA,USA
Northridge Hospital Medical Center,Northridge,CA,USA
Doctors Hospital Of Manteca,Manteca,CA,USA
Adventist Health Hanford,Hanford,CA,USA
Dameron Hospital,Stockton,CA,USA
Usc Verdugo Hills Hospital,Glendale,CA,USA
Regional Medical Center Of San Jose,San Jose,CA,USA
Valley Presbyterian Hospital,Van Nuys,CA,USA
Woodland Memorial Hospital,Woodland,CA,USA
Tri-city Medical Center,Oceanside,CA,USA
St Bernardine Medical Center,San Bernardino,CA,USA
Novato Community Hospital,Novato,CA,USA
San Gabriel Valley Medical Center,San Gabriel,CA,USA
Rideout Memorial Hospital,Marysville,CA,USA
Southern California Hospital At Hollywood,Hollywood,CA,USA
Petaluma Valley Hospital,Petaluma,CA,USA
Kaiser Foundation Hospital - Panorama City,Panorama City,CA,USA
Kaiser Foundation Hospital - Los Angeles,Los Angeles,CA,USA
Kaiser Foundation Hospital - Downey,Downey,CA,USA
Kaiser Foundation Hospital Fontana,Fontana,CA,USA
Community Hospital Of The Monterey Peninsula,Monterey,CA,USA
California Hospital Medical Center La,Los Angeles,CA,USA
Sierra Nevada Memorial Hospital,Grass Valley,CA,USA
Saint Francis Memorial Hospital,San Francisco,CA,USA
O'connor Hospital,San Jose,CA,USA
Encino Hospital Medical Center,Encino,CA,USA
Ventura County Medical Center,Ventura,CA,USA
San Joaquin General Hospital,French Camp,CA,USA
St Jude Medical Center,Fullerton,CA,USA
Pih Health Hospital-whittier,Whittier,CA,USA
Santa Rosa Memorial Hospital,Santa Rosa,CA,USA
Emanuel Medical Center,Turlock,CA,USA
John Muir Medical Center - Walnut Creek Campus,Walnut Creek,CA,USA
George L Mee Memorial Hospital,King City,CA,USA
St Mary Medical Center,Long Beach,CA,USA
Adventist Health Reedley,Reedley,CA,USA
Watsonville Community Hospital,Watsonville,CA,USA
Washington Hospital,Fremont,CA,USA
Sequoia Hospital,Redwood City,CA,USA
Palmdale Regional Medical Center,Palmdale,CA,USA
East Valley Glendora Hospital,Glendora,CA,USA
Alameda Hospital,Alameda,CA,USA
Sharp Chula Vista Medical Center,Chula Vista,CA,USA
Hoag Memorial Hospital Presbyterian,Newport Beach,CA,USA
Adventist Health Feather River,Paradise,CA,USA
Ahmc Anaheim Regional Medical Center,Anaheim,CA,USA
Zuckerberg San Francisco General Hosp & Trauma Ctr,San Francisco,CA,USA
Garden Grove Hospital & Medical Center,Garden Grove,CA,USA
Pomona Valley Hospital Medical Center,Pomona,CA,USA
French Hospital Medical Center,San Luis Obispo,CA,USA
Sharp Coronado Hospital And Hlthcr Ctr,Coronado,CA,USA
Providence Saint Joseph Medical Ctr,Burbank,CA,USA
Adventist Health Simi Valley,Simi Valley,CA,USA
Methodist Hospital Of Southern Ca,Arcadia,CA,USA
Glendale Adventist Medical Center,Glendale,CA,USA
Dominican Hospital,Santa Cruz,CA,USA
Desert Regional Medical Center,Palm Springs,CA,USA
Arrowhead Regional Medical Center,Colton,CA,USA
Natividad Medical Center,Salinas,CA,USA
Marshall Medical Center,Placerville,CA,USA
Good Samaritan Hospital,Bakersfield,CA,USA
Sierra View Medical Center,Porterville,CA,USA
Ronald Reagan U C L A Medical Center,Los Angeles,CA,USA
Redlands Community Hospital,Redlands,CA,USA
Contra Costa Regional Medical Center,Martinez,CA,USA
Providence Holy Cross Medical Center,Mission Hills,CA,USA
Hi-desert Medical Center,Joshua Tree,CA,USA
Mercy Medical Center Redding,Redding,CA,USA
Alhambra Hospital Medical Center,Alhambra,CA,USA
Stanford Health Care - Valleycare,Pleasanton,CA,USA
Seton Medical Center,Daly City,CA,USA
Providence Saint John's Health Center,Santa Monica,CA,USA
Sutter Santa Rosa Regional Hospital,Santa Rosa,CA,USA
Riverside University Health System-medical Center,Moreno Valley,CA,USA
Mercy Hospital,Bakersfield,CA,USA
Hazel Hawkins Memorial Hospital,Hollister,CA,USA
Barstow Community Hospital,Barstow,CA,USA
Adventist Health Ukiah Valley,Ukiah,CA,USA
Alta Bates Summit Medical Center - Alta Bates Camp,Berkeley,CA,USA
El Camino Hospital,Mountain View,CA,USA
Sutter Roseville Medical Center,Roseville,CA,USA
Sutter Tracy Community Hospital,Tracy,CA,USA
Kern Medical Center,Bakersfield,CA,USA
Highland Hospital,Oakland,CA,USA
Scripps Memorial Hospital La Jolla,La Jolla,CA,USA
Loma Linda University Medical Center,Loma Linda,CA,USA
Corona Regional Medical Center,Corona,CA,USA
Salinas Valley Memorial Hospital,Salinas,CA,USA
Adventist Health Sonora,Sonora,CA,USA
Adventist Health Lodi Memorial,Lodi,CA,USA
Pioneers Memorial Healthcare District,Brawley,CA,USA
University Of California Irvine Med Center,Orange,CA,USA
Beverly Hospital,Montebello,CA,USA
Torrance Memorial Medical Center,Torrance,CA,USA
Barton Memorial Hospital,South Lake Tahoe,CA,USA
Providence Little Company Of Mary Med Ctr Torrance,Torrance,CA,USA
Goleta Valley Cottage Hospital,Santa Barbara,CA,USA
Marin General Hospital,Greenbrae,CA,USA
Northbay Medical Center,Fairfield,CA,USA
Lac+usc Medical Center,Los Angeles,CA,USA
Lac/harbor-ucla Med Center,Torrance,CA,USA
Pacifica Hospital Of The Valley,Sun Valley,CA,USA
Citrus Valley Medical Center-ic Campus,Covina,CA,USA
Hemet Valley Medical Center,Hemet,CA,USA
Pih Hospital - Downey,Downey,CA,USA
Community Memorial Hospital San Buenaventura,Ventura,CA,USA
Santa Barbara Cottage Hospital,Santa Barbara,CA,USA
Coalinga Regional Medical Center,Coalinga,CA,USA
Chinese Hospital,San Francisco,CA,USA
Kaiser Foundation Hospital - South Bay,Harbor City,CA,USA
Mercy Hospital Of Folsom,Folsom,CA,USA
Sutter Coast Hospital,Crescent City,CA,USA
Palo Verde Hospital,Blythe,CA,USA
Scripps Green Hospital,La Jolla,CA,USA
Kaiser Foundation Hospital - Sacramento,Sacramento,CA,USA
West Anaheim Medical Center,Anaheim,CA,USA
Huntington Memorial Hospital,Pasadena,CA,USA
Stanford Health Care,Stanford,CA,USA
Mercy Medical Center,Merced,CA,USA
Ucsf Medical Center,San Francisco,CA,USA
Adventist Health Bakersfield,Bakersfield,CA,USA
St Mary's Medical Center,San Francisco,CA,USA
Doctors Medical Center,Modesto,CA,USA
Memorial Hospital Of Gardena,Gardena,CA,USA
West Hills Hospital & Medical Center,West Hills,CA,USA
Long Beach Memorial Medical Center,Long Beach,CA,USA
Eden Medical Center,Castro Valley,CA,USA
Clovis Community Medical Center,Clovis,CA,USA
John Muir Medical Center - Concord Campus,Concord,CA,USA
Sutter Auburn Faith Hospital,Auburn,CA,USA
Saint Vincent Medical Center,Los Angeles,CA,USA
Scripps Memorial Hospital - Encinitas,Encinitas,CA,USA
Sierra Vista Regional Medical Center,San Luis Obispo,CA,USA
Kaiser Foundation Hospital,San Rafael,CA,USA
Kaiser Foundation Hospital - Fremont,Fremont,CA,USA
Kaiser Foundation Hospital - Zion,San Diego,CA,USA
Mercy San Juan Medical Center,Carmichael,CA,USA
Victor Valley Global Medical Center,Victorville,CA,USA
Sutter Delta Medical Center,Antioch,CA,USA
Huntington Beach Hospital,Huntington Beach,CA,USA
Memorial Hospital Los Banos,Los Banos,CA,USA
John F Kennedy Memorial Hospital,Indio,CA,USA
Sutter Davis Hospital,Davis,CA,USA
Kaiser Foundation Hospital - Redwood City,Redwood City,CA,USA
College Hospital Costa Mesa,Costa Mesa,CA,USA
Porterville Developmental Center,Porterville,CA,USA
Sonoma Developmental Center,Eldridge,CA,USA
Fairview Developmental Center,Costa Mesa,CA,USA
Los Robles Hospital & Medical Center,Thousand Oaks,CA,USA
Los Alamitos Medical Center,Los Alamitos,CA,USA
Memorial Medical Center,Modesto,CA,USA
Kaiser Foundation Hospital - West La,Los Angeles,CA,USA
Mission Hospital Regional Med Center,Mission Viejo,CA,USA
Madera Community Hospital,Madera,CA,USA
Fountain Valley Regional Hospital & Medical Center,Fountain Valley,CA,USA
Eisenhower Medical Center,Rancho Mirage,CA,USA
La Palma Intercommunity Hospital,La Palma,CA,USA
Lakewood Regional Medical Center,Lakewood,CA,USA
Chino Valley Medical Center,Chino,CA,USA
San Dimas Community Hospital,San Dimas,CA,USA
Placentia Linda Hospital,Placentia,CA,USA
Methodist Hospital Of Sacramento,Sacramento,CA,USA
Foothill Presbyterian Hospital,Glendora,CA,USA
University Of California Davis Medical Center,Sacramento,CA,USA
Memorialcare Saddleback Medical Center,Laguna Hills,CA,USA
Kaiser Foundation Hospital-san Jose,San Jose,CA,USA
Delano Regional Medical Center,Delano,CA,USA
Kaiser Foundation Hospital - Orange County - Anahe,Anaheim,CA,USA
St Johns Pleasant Valley Hospital,Camarillo,CA,USA
Henry Mayo Newhall  Hospital,Valencia,CA,USA
Cedars-sinai Medical Center,Los Angeles,CA,USA
Twin Cities Community Hospital,Templeton,CA,USA
Pomerado Hospital,Poway,CA,USA
East Los Angeles Doctors Hospital,Los Angeles,CA,USA
Los Angeles Community Hospital,Los Angeles,CA,USA
Laguna Honda Hospital & Rehabilitation Center,San Francisco,CA,USA
Kaiser Foundation Hosp So Sacramento,Sacramento,CA,USA
Kaiser Foundation Hospital - Woodland Hills,Woodland Hills,CA,USA
Orange Coast Memorial Medical Center,Fountain Valley,CA,USA
Menifee Valley Medical Center,Sun City,CA,USA
"Kaiser Foundation Hospital, Riverside",Riverside,CA,USA
St Louise Regional Hospital,Gilroy,CA,USA
San Ramon Regional Medical Center,San Ramon,CA,USA
Kaiser Foundation Hospital-santa Rosa,Santa Rosa,CA,USA
Keck Hospital Of Usc,Los Angeles,CA,USA
Patients' Hospital Of Redding,Redding,CA,USA
Southwest Healthcare System,Murrieta,CA,USA
Mission Community Hospital,Panorama City,CA,USA
Fresno Surgical Hospital,Fresno,CA,USA
Desert Valley Hospital,Victorville,CA,USA
Kaiser Foundation Hospital - Fresno,Fresno,CA,USA
Sutter Maternity & Surgery Center Of Santa Cruz,Santa Cruz,CA,USA
Lac/rancho Los Amigos National Rehabilitation  Ctr,Downey,CA,USA
Kaiser Foundation Hospital - Baldwin Park,Baldwin Park,CA,USA
Bakersfield Heart Hospital,Bakersfield,CA,USA
Stanislaus Surgical Hospital,Modesto,CA,USA
Community Hospital Of Long Beach,Long Beach,CA,USA
Whittier Hospital Medical Center,Whittier,CA,USA
Monterey Park Hospital,Monterey Park,CA,USA
Garfield Medical Center,Monterey Park,CA,USA
Greater El Monte Community Hospital,South El Monte,CA,USA
Centinela Hospital Medical Center,Inglewood,CA,USA
Marina Del Rey Hospital,Marina Del Rey,CA,USA
Olympia Medical Center,Los Angeles,CA,USA
Anaheim Global Medical Center,Anaheim,CA,USA
Chapman Global Medical Center,Orange,CA,USA
Orange County Global Medical Center,Santa Ana,CA,USA
South Coast Global Medical Center,Santa Ana,CA,USA
Kaiser Foundation Hospital Manteca,Manteca,CA,USA
Miracle Mile Medical Center,Los Angeles,CA,USA
Menlo Park Surgical Hospital,Menlo Park,CA,USA
Sherman Oaks Hospital,Sherman Oaks,CA,USA
Alvarado Hospital Medical Center,San Diego,CA,USA
Montclair Hospital Medical Center,Montclair,CA,USA
Kaiser Foundation Hospital - Antioch,Antioch,CA,USA
Providence Tarzana Medical Center,Tarzana,CA,USA
Silver Lake Medical Center,Los Angeles,CA,USA
Shasta Regional Medical Center,Redding,CA,USA
Kaiser Foundation Hospital-moreno Valley,Moreno Valley,CA,USA
